;name;link;level;name_clean
311;Marché aux poissons et fruits de mer;food_beverages_tobacco/meat_seafood_eggs/seafood_market;2;marche aux poissons et fruits de mer
312;Mareyeur;food_beverages_tobacco/meat_seafood_eggs/seafood_wholesaler;2;mareyeur
313;Poissonnerie;food_beverages_tobacco/meat_seafood_eggs/fish_store;2;poissonnerie
314;Transformateur de viande;food_beverages_tobacco/meat_seafood_eggs/meat_processor;2;transformateur de viande
315;Vendeur de viande en gros;food_beverages_tobacco/meat_seafood_eggs/meat_wholesaler;2;vendeur de viande en gros
316;Animalerie;animals_pets/pet_stores/pet_store;2;animalerie
317;Magasin d'alimentation animale;animals_pets/pet_stores/feed_store;2;magasin dalimentation animale
318;Magasin d'aquariophilie;animals_pets/pet_stores/aquarium_shop;2;magasin daquariophilie
319;Magasin d'articles pour animaux;animals_pets/pet_stores/pet_supply_store;2;magasin darticles pour animaux
320;Oisellerie;animals_pets/pet_stores/bird_shop;2;oisellerie
321;Café à chiens;animals_pets/cats_dogs/dog_cafe;2;cafe a chiens
322;Dresseur de chiens;animals_pets/cats_dogs/dog_trainer;2;dresseur de chiens
323;Éleveur de chiens;animals_pets/cats_dogs/dog_breeder;2;eleveur de chiens
324;Hôtel pour chiens;animals_pets/cats_dogs/dog_hostel;2;hotel pour chiens
325;Pension pour chats;animals_pets/cats_dogs/cat_hostel;2;pension pour chats
326;Pension pour chiens;animals_pets/cats_dogs/dog_day_care_center;2;pension pour chiens
327;Promeneur de chien;animals_pets/cats_dogs/dog_walker;2;promeneur de chien
328;Centre de randonnée équestre;animals_pets/horses_riding/horseback_riding_service;2;centre de randonnee equestre
329;Club d'équitation;animals_pets/horses_riding/pony_club;2;club dequitation
330;École d'équitation;animals_pets/horses_riding/horse_riding_school;2;ecole dequitation
331;Éleveur de chevaux;animals_pets/horses_riding/horse_breeder;2;eleveur de chevaux
332;Fournisseur de transports pour chevaux;animals_pets/horses_riding/horsebox_specialist;2;fournisseur de transports pour chevaux
333;Haras;animals_pets/horses_riding/horsestable_studfarm;2;haras
334;Maréchal-ferrant;animals_pets/horses_riding/horseshoe_smith;2;marechalferrant
335;Pension pour chevaux;animals_pets/horses_riding/horse_boarding_stable;2;pension pour chevaux
336;Sellerie-bourrellerie;animals_pets/horses_riding/saddlery;2;selleriebourrellerie
337;Aquarium;animals_pets/animal_parks_zoo/aquarium;2;aquarium
338;Parc animalier;animals_pets/animal_parks_zoo/animal_park;2;parc animalier
339;Parc animalier et safari;animals_pets/animal_parks_zoo/wildlife_and_safari_park;2;parc animalier et safari
340;Zoo;animals_pets/animal_parks_zoo/zoo;2;zoo
341;Urgences vétérinaires;animals_pets/animal_health/emergency_veterinarian_service;2;urgences veterinaires
342;Vétérinaire;animals_pets/animal_health/veterinarian;2;veterinaire
343;Dresseur d'animaux de compagnie;animals_pets/pet_services/pet_trainer;2;dresseur danimaux de compagnie
