name;link;level
Centre de bien-être;beauty_wellbeing/wellness_spa/wellness_center;2
Hammam;beauty_wellbeing/wellness_spa/hammam;2
Institut de massages;beauty_wellbeing/wellness_spa/massage_spa;2
Institut de soins du visage;beauty_wellbeing/wellness_spa/facial_spa;2
Institut de spa et bien-être;beauty_wellbeing/wellness_spa/spa_and_health_club;2
Magasin d'aromathérapie;beauty_wellbeing/wellness_spa/aromatherapy_supply_store;2
Masseur;beauty_wellbeing/wellness_spa/massage_therapist;2
Programme de bien-être;beauty_wellbeing/wellness_spa/wellness_program;2
Salon de massage de pieds;beauty_wellbeing/wellness_spa/foot_massage_parlor;2
Soin des pieds;beauty_wellbeing/wellness_spa/foot_care;2
Spa;beauty_wellbeing/wellness_spa/spa;2
Spa de jour;beauty_wellbeing/wellness_spa/day_spa;2
Spa en extérieur;beauty_wellbeing/wellness_spa/spa_garden;2
Boutique d'articles de toilette;beauty_wellbeing/personal_care/toiletries_store;2
Centre d'amincissement;beauty_wellbeing/personal_care/weight_loss_service;2
Clinique du sommeil;beauty_wellbeing/personal_care/sleep_clinic;2
Herboriste;beauty_wellbeing/personal_care/herbalist;2
Herboristerie;beauty_wellbeing/personal_care/herb_shop;2
Magasin d'accessoires de massage;beauty_wellbeing/personal_care/massage_supply_store;2
Magasin de vitamines et compléments alimentaires;beauty_wellbeing/personal_care/vitamin_and_supplements_store;2
Salon de manucure;beauty_wellbeing/personal_care/nail_salon;2
Service de fitness et nutrition;beauty_wellbeing/personal_care/fitness_and_nutrition_service;2
Artiste du maquillage;beauty_wellbeing/cosmetics_makeup/makeup_artist;2
Distributeur de produits de beauté;beauty_wellbeing/cosmetics_makeup/beauty_products_vending_machine;2
Distributeur de produits pour la peau;beauty_wellbeing/cosmetics_makeup/skin_care_products_vending_machine;2
Entreprise de cosmétique;beauty_wellbeing/cosmetics_makeup/cosmetic_products_manufacturer;2
Fournisseur d'arômes et de parfums;beauty_wellbeing/cosmetics_makeup/flavours_fragrances_and_aroma_supplier;2
